time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electric_unitized
2018-01-01T15:00:00Z,1769230.4239697496,14944.850242109764,1769230.4239697494,14944.850242109764,-2.3283064365386963e-10,0,-0.007759456838021339
2018-01-01T16:00:00Z,1773223.8543075726,21728.46576253939,1773223.8543075724,21728.465762539396,-2.3283064365386963e-10,7.275957614183426e-12,-0.007759456838021339
2018-01-01T17:00:00Z,1795691.819839778,13782.99470514185,1795691.819839778,13782.99470514185,0,0,0
2018-01-01T18:00:00Z,1812701.7440213328,18224.41357381842,1812701.7440213335,18224.41357381842,6.984919309616089e-10,0,0.023278370514064017
2018-01-01T19:00:00Z,1886643.532982368,17043.92457441074,1886643.532982369,17043.924574410747,9.313225746154785e-10,7.275957614183426e-12,0.031037827352085354
2018-01-01T20:00:00Z,1980277.4648463014,25739.76220656489,1980277.464846301,25739.76220656489,-4.656612873077393e-10,0,-0.015518913676042677
2018-01-01T21:00:00Z,2077388.617895216,41785.31769422321,2077388.6178952167,41785.31769422323,6.984919309616089e-10,2.1827872842550278e-11,0.023278370514064017
2018-01-01T22:00:00Z,2080946.3233029502,45524.21066353414,2080946.323302951,45524.21066353413,6.984919309616089e-10,-7.275957614183426e-12,0.023278370514064017
2018-01-01T23:00:00Z,1990138.9266977126,41504.854507580334,1990138.9266977129,41504.85450758033,2.3283064365386963e-10,-7.275957614183426e-12,0.007759456838021339
2018-01-02T00:00:00Z,1877494.318657094,45886.01039257279,1877494.318657094,45886.010392572774,0,-1.4551915228366852e-11,0
2018-01-02T01:00:00Z,1765196.3730680915,51916.44953041758,1765196.3730680905,51916.44953041757,-9.313225746154785e-10,-7.275957614183426e-12,-0.031037827352085354
2018-01-02T02:00:00Z,1658261.3511119387,45570.572492699714,1658261.3511119387,45570.57249269972,0,7.275957614183426e-12,0
2018-01-02T03:00:00Z,1573529.8825706027,42618.12994604459,1573529.8825706022,42618.12994604459,-4.656612873077393e-10,0,-0.015518913676042677
2018-01-02T04:00:00Z,1468340.0310495484,39686.46518885603,1468340.0310495484,39686.46518885603,0,0,0
2018-01-02T05:00:00Z,1425752.271336797,35944.61452709432,1425752.2713367976,35944.61452709434,6.984919309616089e-10,1.4551915228366852e-11,0.023278370514064017
2018-01-02T06:00:00Z,1437265.8043186131,38666.87465876942,1437265.804318613,38666.874658769426,-2.3283064365386963e-10,7.275957614183426e-12,-0.007759456838021339
2018-01-02T07:00:00Z,1513384.9564218912,42542.413019305255,1513384.9564218908,42542.41301930525,-4.656612873077393e-10,-7.275957614183426e-12,-0.015518913676042677
