time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electricity_unitized,incremental_gas_unitized
2018-01-01T15:00:00Z,336633.7137774788,7118671.35067467,321973.9793606958,6126902.20674148,-14659.734416782972,-991769.14393319,3.6669116870164065e-4,6.456765358942919e-4
2018-01-01T16:00:00Z,330850.4556145036,7240246.633382156,316188.9550862495,6249405.465455394,-14661.50052825408,-990841.1679267613,3.667353453191008e-4,6.450723909308304e-4
2018-01-01T17:00:00Z,323009.4252860446,7350428.662942397,308477.10319682036,6361777.222621555,-14532.322089224239,-988651.440320842,3.63504141299151e-4,6.436468013732293e-4
2018-01-01T18:00:00Z,317715.1276989289,7506939.395512799,303097.7799574526,6516531.603472384,-14617.34774147626,-990407.7920404151,3.6563092988259343e-4,6.447902480120393e-4
2018-01-01T19:00:00Z,329295.7729166465,7767086.858192223,314605.510001578,6762920.472409381,-14690.26291506848,-1004166.3857828425,3.674547930891468e-4,6.537475756328166e-4
2018-01-01T20:00:00Z,357360.7980024455,8037231.469239816,342538.32902868086,7024401.114960989,-14822.468973764626,-1012830.3542788271,3.707617284533528e-4,6.593881233346732e-4
2018-01-01T21:00:00Z,444011.27280796313,8275169.397479599,429268.7834536776,7267516.188066559,-14742.489354285528,-1007653.2094130404,3.6876115877689756e-4,6.560176202461144e-4
2018-01-01T22:00:00Z,503183.323837731,8315565.560972005,488508.95592590154,7311832.477133208,-14674.367911829439,-1003733.0838387972,3.6705720353202853e-4,6.534654808530597e-4
2018-01-01T23:00:00Z,506085.5495880445,8009272.402502835,491593.09115774056,7004291.616103685,-14492.45843030396,-1004980.7863991493,3.625070119335967e-4,6.542777790294274e-4
2018-01-02T00:00:00Z,500912.86139079754,7604362.161667416,486239.75498716166,6602351.342142694,-14673.106403635873,-1002010.8195247222,3.6702564880527333e-4,6.523442263121127e-4
2018-01-02T01:00:00Z,504678.4633488464,7183647.860932952,490421.40234747727,6223188.0359180365,-14257.061001369148,-960459.8250149153,3.56618899920691e-4,6.252930699395142e-4
2018-01-02T02:00:00Z,471504.8346820371,6687336.124234148,458498.93750713137,5792752.761347976,-13005.897174905753,-894583.3628861727,3.253229219227649e-4,5.824051800263719e-4
2018-01-02T03:00:00Z,466597.8201103731,6306885.7781395465,454245.8887830563,5462250.446515501,-12351.931327316794,-844635.331624046,3.0896495157175917e-4,5.498872578896027e-4
2018-01-02T04:00:00Z,448456.8276823902,5997660.363374689,436638.5143209882,5182508.715003693,-11818.313361402019,-815151.6483709961,2.956173021533995e-4,5.306923448549658e-4
2018-01-02T05:00:00Z,447503.1274879902,5841891.198244019,436009.77863727213,5045410.057410716,-11493.34885071806,-796481.1408333033,2.874888045407253e-4,5.185371888853849e-4
2018-01-02T06:00:00Z,466485.5458811384,5846543.57452674,454779.254447332,5055420.367510306,-11706.291433806415,-791123.2070164345,2.928152424173639e-4,5.150489858417744e-4
2018-01-02T07:00:00Z,515700.76504005434,6046826.30681054,504518.25180825184,5280886.224281424,-11182.513231802499,-765940.0825291164,2.797137198677209e-4,4.986538875656964e-4
2018-01-02T08:00:00Z,602533.1493270964,6215550.90429862,591367.2880034507,5450912.502217084,-11165.861323645688,-764638.4020815361,2.7929719747450866e-4,4.978064478894611e-4
2018-01-02T09:00:00Z,661448.6095902758,6457307.509261573,649529.1232717428,5639032.759489496,-11919.48631853296,-818274.7497720765,2.981479912393404e-4,5.327255935260215e-4
2018-01-02T10:00:00Z,663005.5630028802,6654486.882741392,650232.7925421621,5781603.591770229,-12772.770460718079,-872883.2909711627,3.194916084179865e-4,5.682776712724956e-4
2018-01-02T11:00:00Z,636845.9198927727,6809893.286892981,623592.2625086337,5913062.299571163,-13253.65738413902,-896830.9873218182,3.315202702579094e-4,5.838684624530097e-4
2018-01-02T12:00:00Z,573538.1404009392,6972179.209742723,560020.0708994113,6048983.795568728,-13518.069501527818,-923195.4141739951,3.38134140986234e-4,6.010326300467322e-4
2018-01-02T13:00:00Z,477184.39687149413,7171152.423693925,463163.4902039767,6211089.0773520395,-14020.90666751744,-960063.3463418856,3.5071185507171317e-4,6.250349484021345e-4
2018-01-02T14:00:00Z,391571.891007713,7281184.794016173,377127.8744920447,6298149.346178508,-14444.016515668307,-983035.4478376647,3.6129531042612895e-4,6.399905930768451e-4
2018-01-02T15:00:00Z,347739.27500946866,7272388.320898382,333290.46476266393,6281525.561816733,-14448.81024680473,-990862.7590816487,3.6141521838782054e-4,6.450864475307748e-4
2018-01-02T16:00:00Z,326739.9573163106,7204629.213582428,312274.74746298837,6220756.590896577,-14465.209853322245,-983872.6226858515,3.6182542983566714e-4,6.405356232980631e-4
2018-01-02T17:00:00Z,314869.6698173295,7293924.90636318,300499.8299834473,6316111.412431946,-14369.83983388223,-977813.4939312339,3.5943989249281313e-4,6.365909177294833e-4
2018-01-02T18:00:00Z,315872.56883128185,7413512.397916827,301596.5852070079,6437405.27070274,-14275.98362427397,-976107.1272140872,3.570922208220523e-4,6.35480013082336e-4
2018-01-02T19:00:00Z,325041.71498601604,7495558.2689045975,311219.1174065403,6533971.563065941,-13822.597579475725,-961586.705838656,3.457514520254668e-4,6.260267089230312e-4
2018-01-02T20:00:00Z,348191.90414934926,7537939.1919160895,334446.5108713247,6603242.79064735,-13745.393278024567,-934696.4012687393,3.438203027479254e-4,6.085201764703378e-4
2018-01-02T21:00:00Z,422995.8078099269,7693848.921380486,409344.01843987114,6769071.955110774,-13651.789370055776,-924776.966269712,3.4147894202253456e-4,6.020622759928129e-4
2018-01-02T22:00:00Z,473200.553995944,7693279.34375678,460076.07505083486,6772850.481158927,-13124.47894510912,-920428.862597853,3.282890662379581e-4,5.99231507830959e-4
2018-01-02T23:00:00Z,487525.4841381308,7335008.141811899,474654.3160383078,6425290.7842513835,-12871.168099823,-909717.3575605154,3.219528771050617e-4,5.922579419471749e-4
2018-01-03T00:00:00Z,485790.6580702216,6695920.235033986,473545.95493936574,5855528.008999785,-12244.703130855865,-840392.2260342008,3.0628279979737146e-4,5.471248471658531e-4
2018-01-03T01:00:00Z,475195.2507517448,6167201.431863822,464131.8238934234,5406040.462738936,-11063.426858321356,-761160.9691248862,2.7673495366181694e-4,4.955425169343702e-4
2018-01-03T02:00:00Z,460329.8904993986,5676963.760266519,450336.72719256964,4988452.147155674,-9993.163306828937,-688511.613110845,2.4996392348092727e-4,4.482452352907126e-4
