time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electric_unitized
2018-01-04T06:00:00Z,935494.1081495783,34311.08098654222,827983.586155482,34258.803772475105,-107510.52199409634,-52.27721406711498,2.963142368704415e-4
2018-01-04T07:00:00Z,1051564.2155392375,36133.685017008866,932270.9547147991,36542.43811370325,-119293.26082443842,408.7530966943814,3.287891351408476e-4
2018-01-04T08:00:00Z,1192474.6807700817,49838.448756828235,1061711.5351473293,49563.38335890801,-130763.14562275237,-275.0653979202252,3.604017633558878e-4
2018-01-04T09:00:00Z,1255992.6275269794,56047.68040332123,1113324.3767790995,56209.170411132465,-142668.25074787997,161.49000781123323,3.932139204785951e-4
2018-01-04T10:00:00Z,1282786.052353577,52034.09174764638,1133554.4267757693,51813.078179263684,-149231.62557780766,-221.01356838269567,4.113035117851231e-4
2018-01-04T11:00:00Z,1318140.0717822944,47144.878241925464,1161699.4314810443,47262.74228608807,-156440.64030125015,117.86404416260484,4.3117257814945475e-4
2018-01-04T12:00:00Z,1349912.164845954,56189.57569864618,1187128.409045389,56599.58581463211,-162783.755800565,410.0101159859332,4.486551035218435e-4
2018-01-04T13:00:00Z,1355624.5262484457,47617.36961093363,1186467.3787519154,47129.72006811538,-169157.14749653032,-487.6495428182534,4.662210743834683e-4
2018-01-04T14:00:00Z,1304924.5119456025,36960.06428774987,1141309.4222454205,37009.67957861129,-163615.08970018197,49.615290861424,4.5094637758023805e-4
2018-01-04T15:00:00Z,1224159.982070022,31808.503461646967,1069337.3521779513,32078.171070844575,-154822.62989207078,269.6676091976078,4.267131121292754e-4
2018-01-04T16:00:00Z,1177415.300557552,18988.237649225954,1027323.0740900346,18945.277166378728,-150092.22646751732,-42.96048284722565,4.1367544981643823e-4
2018-01-04T17:00:00Z,1188632.6314154991,17936.925867605016,1040021.16326569,17629.917391216622,-148611.46814980917,-307.0084763883933,4.09594270014099e-4
