time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electric_unitized
2018-01-02T19:00:00Z,325041.71498601604,7495558.268904597,959883.855263994,5846672.973571466,634842.1402779779,-1648885.2953331303,2.645884049325587e-4
2018-01-02T20:00:00Z,348191.9041493488,7537939.191916086,1095719.2730317805,5535178.121389152,747527.3688824316,-2002761.0705269342,3.115531588521047e-4
2018-01-02T21:00:00Z,422995.80780992657,7693848.9213804845,1204421.163363961,5571333.767272609,781425.3555540345,-2122515.154107875,3.25681102879162e-4
2018-01-02T22:00:00Z,473200.5539959441,7693279.343756782,1254791.1671233454,5548579.204056591,781590.6131274013,-2144700.139700191,3.257499786436489e-4
2018-01-02T23:00:00Z,487525.48413813114,7335008.141811897,1261236.4647863493,5157308.5098424535,773710.9806482182,-2177699.6319694435,3.224659191005805e-4
2018-01-03T00:00:00Z,485790.658070222,6695920.235033983,1296865.2406996407,4297803.601249167,811074.5826294187,-2398116.6337848166,3.3803825625893625e-4
2018-01-03T01:00:00Z,475195.25075174466,6167201.431863818,1272052.131435439,3685378.9961455553,796856.8806836943,-2481822.435718263,3.3211262712855343e-4
2018-01-03T02:00:00Z,460329.8904993984,5676963.760266518,1219046.0801545985,3216668.889051079,758716.1896552001,-2460294.8712154394,3.1621641614634603e-4
2018-01-03T03:00:00Z,453411.2749621365,5255654.002099395,1182891.2553245535,2822715.493841794,729479.980362417,-2432938.508257601,3.04031399600871e-4
2018-01-03T04:00:00Z,435190.55521631526,4869310.601681287,1142700.6134813766,2464924.990862472,707510.0582650614,-2404385.6108188154,2.948748136160677e-4
2018-01-03T05:00:00Z,424534.0909012651,4717306.8008673545,1122932.780086863,2315426.059785091,698398.6891855979,-2401880.7410822636,2.9107739303142993e-4
2018-01-03T06:00:00Z,439040.1736200604,4658825.383230935,1135063.4428770146,2254504.8416460385,696023.2692569543,-2404320.5415848964,2.900873696380717e-4
2018-01-03T07:00:00Z,486673.96610741713,4895463.997177093,1199805.5571850296,2453978.127448366,713131.5910776125,-2441485.8697287273,2.9721774630087284e-4
2018-01-03T08:00:00Z,571137.742610059,5199472.929766552,1311169.734409092,2772090.520720004,740031.991799033,-2427382.4090465475,3.08429248605699e-4
2018-01-03T09:00:00Z,636712.2000242459,5391805.9023388885,1393005.537042721,2971077.561883419,756293.337018475,-2420728.3404554697,3.1520662383127223e-4
2018-01-03T10:00:00Z,646527.4906757686,5426462.8854575455,1403415.5026567287,3023300.8720056033,756888.0119809601,-2403162.0134519422,3.1545447142958754e-4
2018-01-03T11:00:00Z,611245.8818173681,5485194.228106055,1369257.392995597,3091619.2050216785,758011.511178229,-2393575.023084377,3.1592272147426515e-4
2018-01-03T12:00:00Z,536621.6169235673,5657482.992881935,1299904.4662397858,3304189.300880574,763282.8493162185,-2353293.692001361,3.181197006306584e-4
2018-01-03T13:00:00Z,466648.7850413972,5782202.8202607585,1249397.9672938467,3418641.572858912,782749.1822524494,-2363561.2474018466,3.262328450719335e-4
2018-01-03T14:00:00Z,379932.7118098086,5865963.191619916,1182941.715652298,3487638.400523197,803009.0038424893,-2378324.791096719,3.3467669833658865e-4
2018-01-03T15:00:00Z,325410.32768020045,5911566.964210372,1145892.7338145932,3530294.167105682,820482.4061343927,-2381272.79710469,3.4195923260429696e-4
2018-01-03T16:00:00Z,304053.7508666018,5943289.842475565,1138587.8444684362,3568388.4325059773,834534.0936018344,-2374901.409969588,3.478156705086762e-4
2018-01-03T17:00:00Z,294223.06981511624,6131310.499454701,1108127.7199261715,3849784.91900168,813904.6501110552,-2281525.5804530215,3.392177668700148e-4
2018-01-03T18:00:00Z,297171.46676531807,6382486.763334817,1032967.5663517113,4346602.642936488,735796.0995863932,-2035884.1203983296,3.06663820804202e-4
2018-01-03T19:00:00Z,308895.9239171126,6679878.7463734485,1063044.9493080203,4597001.25552898,754149.0253909077,-2082877.4908444686,3.143129213543573e-4
2018-01-03T20:00:00Z,338200.75925563165,6947570.025475447,1102086.3571867757,4856941.457909918,763885.5979311441,-2090628.5675655287,3.1837091315181935e-4
2018-01-03T21:00:00Z,420806.8387923031,7248562.925130567,1191920.1217681537,5159064.343965845,771113.2829758506,-2089498.5811647214,3.2138325517513944e-4
2018-01-03T22:00:00Z,488575.81586016517,7326413.383319254,1252565.109764828,5256122.870295154,763989.293904663,-2070290.5130241,3.1841413137961264e-4
2018-01-03T23:00:00Z,496498.59191957297,6838388.361444358,1310118.645782141,4545397.581975231,813620.053862568,-2292990.779469127,3.39099153339722e-4
2018-01-04T00:00:00Z,473889.84207295487,6047007.465473137,1272781.0308697298,3592038.880765331,798891.188796775,-2454968.584707806,3.3296048253170246e-4
2018-01-04T01:00:00Z,467632.25682916713,5448688.613263364,1210615.1685947883,2995250.560456507,742982.9117656212,-2453438.052806857,3.096591279056165e-4
2018-01-04T02:00:00Z,454592.5512346714,4977807.116256167,1161819.0224578027,2551500.1241847067,707226.4712231313,-2426306.9920714605,2.947566207011314e-4
2018-01-04T03:00:00Z,441804.13807235047,4575645.385072925,1121423.5116839793,2178673.37826655,679619.3736116288,-2396972.006806375,2.8325058249351265e-4
2018-01-04T04:00:00Z,421397.2246269319,4174507.9027853804,1073618.4063839265,1845945.5477495033,652221.1817569947,-2328562.355035877,2.7183161166451314e-4
2018-01-04T05:00:00Z,407498.6842541996,3915814.0720031885,1039363.4128935192,1638666.5418580796,631864.7286393195,-2277147.5301451087,2.633474844795539e-4
2018-01-04T06:00:00Z,426047.3961303698,3838524.3923031613,1053960.8288055349,1576143.3635453898,627913.4326751651,-2262381.0287577715,2.6170067020834896e-4
2018-01-04T07:00:00Z,492877.0541972385,4201576.408325447,1155940.1419737502,1876018.6251656697,663063.0877765117,-2325557.783159777,2.763502824302512e-4
2018-01-04T08:00:00Z,573781.8637839521,4548191.787975765,1263422.4061843096,2206049.0401676283,689640.5424003575,-2342142.7478081365,2.874271878212697e-4
2018-01-04T09:00:00Z,628184.1523335244,4767641.698302053,1339287.7428390258,2440911.855566349,711103.5905055014,-2326729.842735704,2.963725197436972e-4
2018-01-04T10:00:00Z,635773.3856265309,4876364.8460609615,1358959.4493091824,2574876.9119500546,723186.0636826515,-2301487.934110907,3.014082319353654e-4
2018-01-04T11:00:00Z,601661.9517685623,5007578.361157728,1342297.1967857955,2686638.497163631,740635.2450172332,-2320939.8639940973,3.086806714345366e-4
2018-01-04T12:00:00Z,534903.9473670921,5192484.4940439025,1297503.05924235,2855447.758598122,762599.1118752579,-2337036.7354457807,3.178347337272055e-4
2018-01-04T13:00:00Z,459673.6539370599,5379515.507129017,1241310.438264351,3029211.450656877,781636.7843272912,-2350304.0564721404,3.257692217961708e-4
2018-01-04T14:00:00Z,366601.59782257956,5300272.715219135,1145461.2980123665,2899010.5755129466,778859.700189787,-2401262.139706189,3.2461179349126335e-4
2018-01-04T15:00:00Z,307718.6844707979,5094441.721609294,1073692.5830657138,2645999.8028902514,765973.8985949159,-2448441.918719043,3.1924127147649683e-4
2018-01-04T16:00:00Z,282709.0322300227,4961080.478139404,1045094.6969189167,2490349.6109384107,762385.664688894,-2470730.8672009935,3.1774577357948647e-4
2018-01-04T17:00:00Z,275173.79148770496,5032197.453694706,1036726.8607687887,2524800.5168355647,761553.0692810838,-2507396.936859141,3.1739876591107587e-4
2018-01-04T18:00:00Z,277983.6748382434,5258646.965032631,1053218.8096860298,2720218.5105186584,775235.1348477864,-2538428.454513972,3.23101153441449e-4
2018-01-04T19:00:00Z,286605.0741352945,5597402.27699507,1085962.5163604436,3006489.9396540015,799357.4422251491,-2590912.337341069,3.331548068260126e-4
2018-01-04T20:00:00Z,317554.15925341845,5912189.114817389,1136168.5240546535,3299664.7708540303,818614.364801235,-2612524.343963359,3.4118067358099096e-4
2018-01-04T21:00:00Z,397810.04902531835,6164010.821132565,1220310.8682695548,3548800.0790584963,822500.8192442365,-2615210.7420740686,3.428004633155958e-4
2018-01-04T22:00:00Z,464659.386620008,6292888.276789414,1287278.5353328097,3677229.6661359915,822619.1487128017,-2615658.6106534223,3.4284978046604595e-4
2018-01-04T23:00:00Z,479272.19293198804,6276171.990596229,1299968.046252744,3669484.2829728876,820695.853320756,-2606687.7076233416,3.4204819275201564e-4
2018-01-05T00:00:00Z,474484.2647338035,6331665.547318906,1300012.7036428023,3706925.046226198,825528.4389089989,-2624740.5010927077,3.440623093825427e-4
2018-01-05T01:00:00Z,465980.4380003994,6254571.297147567,1279569.4587614057,3635314.8754547364,813589.0207610063,-2619256.421692831,3.3908621941753666e-4
2018-01-05T02:00:00Z,471333.5218693401,6020829.077476127,1268067.2793533332,3433467.671749124,796733.7574839931,-2587361.4057270032,3.3206131205516386e-4
2018-01-05T03:00:00Z,462372.0199632804,5865234.785911609,1249456.7535756712,3287500.7430541264,787084.7336123908,-2577734.042857483,3.2803980863980217e-4
2018-01-05T04:00:00Z,436253.7543219246,5591909.694229398,1212014.1811815489,3039496.234615891,775760.4268596242,-2552413.459613507,3.233200837340649e-4
2018-01-05T05:00:00Z,435232.9418916221,5597608.723928128,1216329.29610875,3024861.2026579985,781096.3542171279,-2572747.52127013,3.255439822732194e-4
